,carat,cut,color,clarity,depth,table,x,y,z,clarity_,cut_,color_,price_predicted
19,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,8,5,4,781.2756873652085
20,1.0,Very Good,H,SI1,62.0,54.0,6.43,6.47,4.0,3,3,3,4150.060585671714
21,0.34,Very Good,F,VS1,61.1,57.0,4.51,4.54,2.76,5,3,5,801.2404153023667
22,1.01,Very Good,F,SI2,62.4,58.0,6.37,6.41,3.99,2,3,5,3999.757719031196
23,0.87,Ideal,F,VS1,62.0,55.0,6.1,6.13,3.79,5,5,5,4925.433093051095
24,1.26,Premium,D,SI2,61.9,58.0,6.88,6.81,4.24,2,4,7,6843.750288946647
25,0.38,Premium,E,VS1,60.2,58.0,4.66,4.71,2.82,5,4,6,1068.3200690958827
26,0.55,Ideal,F,VVS2,62.3,54.0,5.29,5.27,3.29,6,5,5,2267.0242098528192
27,0.65,Premium,G,SI1,61.9,58.0,5.54,5.51,3.42,3,4,4,2047.7865189344705
28,0.41,Premium,D,VVS2,62.2,58.0,4.8,4.78,2.98,6,4,7,1399.365520974
29,0.7,Very Good,I,I1,63.2,59.0,5.62,5.59,3.54,1,3,2,1114.2579046437595
30,1.03,Very Good,I,VS1,62.9,53.0,6.45,6.5,4.07,5,3,2,5006.084003022174
31,0.34,Ideal,F,VVS2,61.3,56.0,4.52,4.56,2.78,6,5,5,917.1955817152315
32,0.73,Ideal,I,VVS1,61.7,53.0,5.8,5.84,3.59,7,5,2,3232.810253878825
33,0.83,Ideal,D,SI2,62.1,56.0,6.0,6.04,3.74,2,5,7,3185.9639594223763
34,0.51,Very Good,G,SI1,63.0,53.0,5.1,5.13,3.22,3,3,4,1263.479076855529
35,1.06,Ideal,E,VS2,61.3,57.0,6.54,6.57,4.02,4,5,6,6752.676383083409
36,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,5,5,7,1310.5349449637663
37,1.03,Ideal,F,VS2,60.4,56.0,6.59,6.56,3.97,4,5,5,6094.328530815908
38,0.32,Ideal,D,SI1,61.3,55.0,4.41,4.46,2.72,3,5,7,644.3689649528616
39,0.3,Premium,J,VS1,62.6,58.0,4.32,4.27,2.69,5,4,1,415.31732111302824
40,0.32,Very Good,D,VVS2,60.1,58.0,4.41,4.44,2.66,6,3,7,857.2905028717969
41,0.33,Ideal,G,VS1,61.7,56.0,4.44,4.47,2.75,5,5,4,746.3985856212681
42,0.25,Ideal,G,VS1,62.7,54.0,4.05,4.08,2.55,5,5,4,442.2546892128122
43,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,5,5,5,664.2758844092178
44,1.26,Very Good,F,IF,60.0,60.0,7.04,7.09,4.24,8,3,5,11829.864498778166
45,1.14,Ideal,J,VS1,61.6,56.0,6.71,6.73,4.14,5,5,1,5249.300568532897
46,1.51,Premium,H,SI1,62.8,60.0,7.22,7.14,4.51,3,4,3,9224.060753346303
47,0.51,Very Good,E,SI2,62.0,57.0,5.09,5.13,3.17,2,3,6,1163.3272657174848
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,8,5,4,883.1092953640932
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,2,4,6,3784.978363998517
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,4,4,6,1669.2603466573123
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,2,5,3,4435.295984370277
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,2,4,4,6506.939874705616
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,4,4,3,571.6571437772476
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,4,5,6,3085.162405558278
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,7,5,3,11483.503168514466
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,4,2,5,330.6803101486851
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,1,3,5,2309.419145271186
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,3,5,7,5818.2970602117275
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,2,2,6,4113.564765517498
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,6,5,3,1967.299783585603
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,8,5,6,1106.6851690359285
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,6,4,7,3948.944869840084
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,3,2,4,1396.1013547119458
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4,5,4,1696.3579097811278
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,8,5,3,10284.756768799993
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,7,4,6,659.276986238695
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,4,5,7,1911.4278557151122
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,2,5,4,5911.612600505528
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,6,5,6,962.6673876798963
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,4,4,2,636.8245076929431
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,3,5,4,618.1821141675792
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,3,2,6,5962.761013724901
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,5,5,3,576.4152278161791
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,3,5,7,803.0644020776124
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,7,5,5,3955.4969410984654
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,4,4,4,617.8686712800782
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,4,4,6,1604.9215766189884
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,3,3,6,1408.9145809898705
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,5,5,1,1468.73379824474
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,8,5,5,831.0402881128391
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,7,5,4,1199.6241225317012
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,4,5,5,634.0331716464933
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,5,3,3,4341.485254400839
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2,4,4,2553.2524488428285
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2,4,6,2168.392477408748
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,4,3,1,568.3831805907146
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3,3,4,2360.469314126547
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,4,3,7,3149.232257279009
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,5,3,3,4337.617462067091
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2,3,5,2224.023756205065
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,4,4,3,10468.510318841902
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,3,3,5,10235.099085300564
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,5,5,5,1251.054296687397
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,4,4,4,5392.678109506916
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,2,4,2,17254.758576389882
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,6,5,5,7258.687800501648
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,4,5,7,1124.9230938051148
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3,5,5,2560.595555708109
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,4,2,6,5647.767603704662
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,4,3,2,5361.6460296708465
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,4,5,2,5248.540810691268
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,4,3,6,2940.045397267241
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,3,4,5,4908.263206609215
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,4,5,3,10993.988283358889
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,6,5,4,1224.880527222248
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,4,3,1,717.1717374014165
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2,3,6,455.7297324429622
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,4,5,4,670.0954833517528
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,4,4,6,3026.7903437779555
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,6,5,4,814.3411762788974
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,2,4,3,4629.740335114524
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,4,5,6,1701.7596556855585
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,1,2,4,3202.8158483453867
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,4,4,6,1724.5946994663009
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,6,3,5,418.9173138011655
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,3,1,5,1162.0258520372736
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,5,3,7,7753.262108326266
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,5,4,4,609.6437634190278
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,5,5,1,1029.9126267684187
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,5,5,1,8903.093187951563
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,2,4,5,4260.974825952173
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,6,3,4,687.7173806776962
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,8,5,4,1342.6641121334978
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,4,5,6,6396.155680606327
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,3,4,1,4148.20179762471
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2,3,1,2706.8059768268117
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,4,4,6,3104.8382224494376
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,6,3,3,562.8794743248966
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,2,5,4,4562.8704559454745
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,5,5,5,3628.2465179717665
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,4,5,7,1232.1191071635562
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,3,5,2,1218.7969951664857
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,4,5,6,1701.1624050982848
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,2,4,5,4127.286558948982
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4,4,3,4898.852184654597
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4,4,3,5073.71002233097
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,5,2,6,3415.975875120723
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,2,4,3,3577.3337294673297
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,3,2,7,625.158065368053
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,5,5,5,9296.128715338646
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,5,5,7,775.0099991297429
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,3,4,4,5237.051071001173
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,6,3,6,7144.606345154914
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,8,3,5,481.96999184935146
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,5,3,7,928.6452794585543
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,6,5,5,2270.7491297012953
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3,5,4,3856.6335614699974
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,7,5,4,3805.7384696400386
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3,3,6,3525.0441236370157
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,3,5,3,4679.97500880412
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,4,3,6,3032.0182624942177
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,3,5,5,1023.500768894574
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,4,5,6,751.103747083252
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,2,1,7,10761.160370744004
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,3,5,4,5931.387331223316
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,3,5,7,1603.8164623030773
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,5,3,4,594.3270476152753
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,5,4,4,13119.823027990169
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,2,1,3,11660.096162435284
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,5,4,3,674.955760855511
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1,3,4,1351.2295713107421
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,3,4,2,5880.75860278535
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,4,4,7,639.205173802916
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,5,3,3,1962.2688125328032
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3,5,6,3626.3799354425273
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,6,3,4,1063.240556310514
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,8,5,3,767.9220908088756
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,2,5,2,4944.028537547789
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2,3,5,8516.924144050045
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,5,5,4,2023.8278340107945
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,7,5,4,779.095551078244
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,6,5,3,2037.8268965085408
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,2,4,6,3954.3284458394064
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,3,3,6,1464.0719966620986
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,3,3,3,4295.442385684222
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5,2,2,5113.072915572247
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,3,5,3,6216.016864051491
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,4,1,3,16074.910768030042
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,4,5,4,11888.068872528722
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2,3,2,11541.235571666708
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,6,2,5,582.867659316446
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,5,1,4,2624.37949503571
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,7,5,4,3608.5670820883365
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,1,1,3,10644.868306248081
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,4,5,1,1322.3806906108969
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,5,5,7,2204.9439114824554
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,3,3,2,5221.345729670218
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,4,3,5,1598.7760166409453
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,2,4,5,9452.255366198693
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1,4,2,1146.6533134076924
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,3,3,3,9676.154380406682
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,4,3,7,6228.402937851094
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,4,4,5,12068.893202509093
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,5,3,6,3269.320540635661
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,3,4,5,959.2312918734393
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,3,4,3,15877.00065106288
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,5,4,4,648.7547169648816
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,6,5,6,1565.9433899469761
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,6,5,7,3920.124269408274
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,3,4,1,4433.778758462831
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5,5,4,6589.477777045989
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1,5,5,1509.7885002303647
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,3,4,5,1485.0068512269593
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,2,4,3,4118.03903032975
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,2,4,6,3626.5115492547316
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,4,4,5,2966.78536474373
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2,2,5,1313.018402933388
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,4,3,4,2694.5212218579904
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3,4,4,3705.117437302297
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,3,5,4,5246.888628012669
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2,4,3,2641.147501085163
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,4,4,4,6347.3734260390875
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3,5,6,2687.92109226567
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5,4,4,6334.693087499454
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,1,4,6,2650.9025346737685
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,1,4,5,3470.0524231730856
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,2,4,3,14408.768151229038
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,7,5,5,932.3955036972108
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4,1,2,3132.5468256707854
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,5,5,6,3530.026753719824
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,4,5,4,15492.716467328204
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,3,5,3,2926.984088295136
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,7,2,2,3101.177692353131
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,4,5,4,961.9643916881487
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,4,5,4,709.2829821430204
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,4,4,5,779.6980091192781
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,4,3,2,6856.637781481032
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,3,4,4,12518.515995437972
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,3,4,5,4997.286746481688
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,3,2,7,1213.0733820167068
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3,4,6,2716.08424782712
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5,5,4,6136.504901362319
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2,2,1,2076.707096031491
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,7,5,5,829.9183911396111
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,7,5,4,733.5213286897281
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3,3,4,2291.4355137937764
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,8,4,3,6935.623457027857
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,2,3,3,7304.556602967966
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5,3,7,5485.3867453638195
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,6,2,5,401.5992184650571
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,6,2,6,497.279856655333
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,6,5,5,967.3972504890786
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2,3,7,2389.0026163573543
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,8,3,4,1281.3701532306309
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,4,5,6,627.5176118381638
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,6,4,1,4453.515118241141
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,2,5,7,1273.3376165628079
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,1,4,5,8057.568334449301
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,3,2,6,1357.714958275523
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,5,5,6,3434.348452556534
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,4,2,3,1334.054985628749
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,2,4,5,4107.845014476878
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,4,5,5,633.4369209566016
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,3,2,4,4391.959898049596
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,3,2,6,7237.964142199696
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3,3,2,3782.724622601915
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,4,5,4,5923.439648941099
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3,2,4,3529.592756677713
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,4,5,6,2030.07790832523
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3,3,5,3139.4750141516074
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,3,5,7,569.0141416534648
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,4,5,3,2972.6765916841064
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,3,4,3,6113.77648817657
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,5,3,1,8496.07629205079
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,6,5,3,8690.767920135797
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,3,5,5,2559.7666906549166
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,4,5,2,1349.6945469584598
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,5,5,6,1560.7919738593155
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,8,5,4,1407.2544991632587
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,4,3,5,843.9034580442765
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,2,5,5,1480.4350103118682
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,3,4,5,2646.608757571981
