,carat,cut,color,clarity,depth,table,price,x,y,z,clarity_,color_,cut_
111,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,4,6,5
112,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,2,5,5
113,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,2,7,5
114,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,3,6,5
115,0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,4,5,3
116,0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,4,5,1
117,0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,4,5,1
118,0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,4,5,4
119,0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,3,3,4
120,0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,6,7,3
121,0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,2,3,1
122,0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,2,3,1
123,0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,4,3,5
124,0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,3,7,3
125,0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,3,7,5
126,0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,4,6,3
127,0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,5,3,3
128,0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,7,6,4
129,0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,5,5,3
130,0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,5,5,4
131,0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,3,3,5
132,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,7,4,5
133,0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,4,4,4
134,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,4,4,4
135,0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,5,5,3
136,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,2,7,5
137,0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,6,3,2
138,0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,5,4,3
139,0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,3,7,3
140,0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,3,6,5
141,0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,2,7,4
142,0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,3,2,5
143,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,4,7,4
144,0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,4,4,4
145,0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,3,5,3
146,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,2,7,5
147,0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,3,5,5
148,0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,4,4,4
149,0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,5,4,4
150,0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,2,7,5
151,0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,4,4,4
152,0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,3,5,3
153,0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,4,4,5
154,0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,2,5,5
155,0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,7,3,3
156,0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,2,5,3
157,0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,7,4,5
158,0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,7,5,5
159,0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,4,6,2
160,0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,2,7,5
161,0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,4,7,4
162,1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,1,1,3
163,0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,5,6,5
164,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,3,6,5
165,0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,4,2,2
166,0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,4,5,3
167,0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,4,4,3
168,0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,4,6,4
169,0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,4,6,5
170,0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,6,6,5
171,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,6,6,5
172,0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,3,4,5
173,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,3,4,5
174,0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,4,4,2
175,0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,3,4,5
176,0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,5,7,3
177,0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,4,5,4
178,0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,4,5,3
179,0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,4,5,2
180,0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,4,6,5
181,0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,4,6,4
182,0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,3,6,4
183,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,3,6,4
184,0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,3,6,4
185,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,3,6,4
186,0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,3,6,4
187,0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,3,6,5
188,0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,3,5,4
189,0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,3,6,3
190,0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,3,6,4
191,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,3,6,4
192,0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,4,6,2
193,0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,2,3,1
194,0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,3,5,4
195,0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,3,6,3
196,0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,7,5,5
197,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,3,6,5
198,0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,4,5,3
199,0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,4,4,4
200,0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,4,5,5
201,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,5,4,5
202,0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,5,4,5
203,1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,1,5,4
204,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,3,3,5
205,0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,3,3,5
206,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,6,7,3
207,0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,4,4,5
208,0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,5,6,2
209,0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,5,6,4
210,0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,2,7,3
211,0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,3,7,5
212,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,3,7,4
213,0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,3,7,4
214,0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,3,4,1
215,0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,3,5,4
216,0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,8,5,5
217,0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,4,5,3
218,0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,5,3,3
219,0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,4,5,3
220,0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,7,5,5
221,0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,7,3,3
222,0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,5,2,3
223,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,6,2,5
224,0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,4,7,2
225,0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,5,4,2
226,0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,3,5,5
227,1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,1,6,1
228,1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,2,3,4
229,0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,3,5,2
230,0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,3,6,2
231,0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,3,6,4
232,0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,3,6,4
233,1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,2,1,3
234,0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,2,4,5
235,0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,3,6,5
236,0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,8,4,5
237,0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,2,4,2
238,0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,6,6,4
239,0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,7,6,4
240,0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,5,3,4
241,1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,2,1,1
242,0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,8,4,5
243,0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,7,2,4
244,0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,2,5,5
245,0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,5,5,4
246,0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,5,5,4
247,0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,3,2,3
248,0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,3,6,5
249,0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,3,6,4
250,0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,5,5,4
251,0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,5,5,4
252,0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,6,3,4
253,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,5,5,5
254,0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,3,4,3
255,0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,4,6,3
256,0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,4,6,2
257,0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,4,2,5
258,0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,4,3,5
259,0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,3,6,3
260,0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,4,6,3
261,0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,6,2,4
262,0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72,2,5,5
263,0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48,5,5,2
264,0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,2,7,4
265,0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6,8,2,4
266,0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57,4,3,4
267,1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83,2,2,4
268,0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66,2,3,3
269,0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,3.67,3,6,3
270,0.71,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57,3,7,4
271,0.71,Premium,D,SI1,61.6,60.0,2797,5.74,5.69,3.52,3,7,4
272,0.57,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31,6,5,5
273,0.51,Ideal,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17,7,7,5
274,0.72,Ideal,G,VS2,61.9,58.0,2797,5.72,5.75,3.55,4,4,5
275,0.74,Ideal,H,VS1,61.8,58.0,2797,5.77,5.81,3.58,5,3,5
276,0.74,Ideal,H,VS1,61.6,56.0,2797,5.81,5.82,3.58,5,3,5
277,0.8,Premium,F,SI2,61.0,57.0,2797,6.03,6.01,3.67,2,5,4
278,1.01,Fair,E,SI2,67.4,60.0,2797,6.19,6.05,4.13,2,6,1
279,0.8,Very Good,H,VS2,63.4,60.0,2797,5.92,5.82,3.72,4,3,3
280,0.77,Ideal,I,VS1,61.5,59.0,2798,5.87,5.91,3.62,5,2,5
281,0.83,Very Good,E,SI2,58.0,62.0,2799,6.19,6.25,3.61,2,6,3
282,0.78,Ideal,D,SI1,61.9,57.0,2799,5.91,5.86,3.64,3,7,5
283,0.6,Very Good,G,IF,61.6,56.0,2800,5.43,5.46,3.35,8,4,3
284,0.9,Good,I,SI2,62.2,59.0,2800,6.07,6.11,3.79,2,2,2
285,0.7,Premium,E,VS1,62.2,58.0,2800,5.6,5.66,3.5,5,6,4
286,0.9,Very Good,I,SI2,61.3,56.0,2800,6.17,6.23,3.8,2,2,3
287,0.83,Ideal,G,SI1,62.3,57.0,2800,5.99,6.08,3.76,3,4,5
288,0.83,Ideal,G,SI1,61.8,57.0,2800,6.03,6.07,3.74,3,4,5
289,0.83,Very Good,H,SI1,62.5,59.0,2800,5.95,6.02,3.74,3,3,3
290,0.74,Premium,G,VS1,62.9,60.0,2800,5.74,5.68,3.59,5,4,4
291,0.79,Ideal,I,VS1,61.8,59.0,2800,5.92,5.95,3.67,5,2,5
292,0.61,Ideal,G,IF,62.3,56.0,2800,5.43,5.45,3.39,8,4,5
293,0.76,Fair,G,VS1,59.0,70.0,2800,5.89,5.8,3.46,5,4,1
294,0.96,Ideal,F,I1,60.7,55.0,2801,6.37,6.41,3.88,1,5,5
295,0.73,Ideal,F,VS2,62.5,55.0,2801,5.8,5.76,3.61,4,5,5
296,0.75,Ideal,H,SI1,60.4,57.0,2801,5.93,5.96,3.59,3,3,5
297,0.71,Premium,F,VS2,62.1,58.0,2801,5.7,5.67,3.53,4,5,4
298,0.71,Good,F,VS2,57.8,60.0,2801,5.9,5.87,3.4,4,5,2
299,0.71,Good,F,VS2,63.8,58.0,2801,5.64,5.61,3.59,4,5,2
300,0.71,Premium,F,VS2,62.8,57.0,2801,5.69,5.64,3.56,4,5,4
301,1.0,Premium,J,SI2,62.3,58.0,2801,6.45,6.34,3.98,2,1,4
302,0.87,Very Good,G,SI2,59.9,58.0,2802,6.19,6.23,3.72,2,4,3
303,0.72,Premium,E,VS2,63.0,55.0,2802,5.79,5.61,3.59,4,6,4
304,0.72,Premium,F,VS1,62.4,58.0,2802,5.83,5.7,3.6,5,5,4
305,0.7,Very Good,F,VS2,62.9,58.0,2803,5.63,5.65,3.55,4,5,3
306,0.74,Very Good,E,SI1,63.5,56.0,2803,5.74,5.79,3.66,3,6,3
